SEASON,TEAM,MATCH_DATE,RESULT,LAST_1,LAST_2,LAST_3,LAST_4,LAST_5,FORM_SCORE
2021,Lazio,2021-01-06,Fiorentina,D,L,W,D,L,8
2021,Lazio,2021-01-03,Genoa,L,W,D,L,W,5
2021,Lazio,2020-12-23,Milan,W,D,L,W,L,7
2021,Lazio,2020-12-15,Benevento,L,W,L,W,D,7
2021,Lazio,2021-05-12,Parma,L,W,W,L,W,9
2021,Lazio,2020-12-05,Spezia,L,W,D,W,W,10
2021,Lazio,2020-11-29,Udinese,W,D,W,W,L,10
2021,Lazio,2020-11-21,Crotone,D,W,W,L,D,10
2021,Lazio,2020-11-08,Juventus,W,W,L,D,L,8
2021,Lazio,2020-11-01,Torino,W,L,D,L,W,7
2021,Lazio,2020-10-24,Bologna,L,D,L,W,,7
2021,Lazio,2020-10-17,Sampdoria,D,L,W,,,4
2021,Lazio,2020-12-20,Napoli,D,L,W,L,W,7
2021,Lazio,2021-03-12,Crotone,L,L,W,L,W,6
2021,Lazio,2021-04-26,Milan,L,W,W,W,W,12
2021,Lazio,2020-10-04,Inter,L,W,,,,4
2021,Lazio,2021-02-20,Sampdoria,L,W,W,W,W,12
2021,Lazio,2021-02-07,Cagliari,W,W,W,W,W,15
2021,Lazio,2021-01-24,Sassuolo,W,W,W,D,L,13
2021,Lazio,2021-01-31,Atalanta,W,W,W,W,D,15
2021,Lazio,2021-01-10,Parma,W,D,L,W,D,10
2021,Lazio,2021-03-06,Juventus,L,W,L,W,W,6
2021,Lazio,2021-01-15,Roma,W,W,D,L,W,10
2021,Lazio,2021-02-27,Bologna,W,L,W,W,W,9
2021,Lazio,2021-03-21,Udinese,W,L,L,W,L,9
2021,Lazio,2021-04-03,Spezia,W,W,L,L,W,9
2021,Lazio,2021-04-11,Hellas Verona,W,W,W,L,L,12
2021,Lazio,2021-04-18,Benevento,W,W,W,W,L,15
2021,Lazio,2021-04-22,Napoli,W,W,W,W,W,12
2021,Lazio,2021-02-14,Inter,W,W,W,W,W,12
2021,Lazio,2021-05-02,Genoa,W,L,W,W,W,12
2021,Lazio,2021-05-08,Fiorentina,W,W,L,W,W,9
2021,Milan,2020-12-16,Genoa,D,W,W,W,D,11
